id,State_Code,State_Name,State_ab,County,City,Place,Type,Primary,Zip_Code,Area_Code,ALand,AWater,Lat,Lon,Mean,Median,Stdev,Households
1301947,13,Georgia,GA,Elbert County,Royston,Bowman city,City,place,30662,706,8075326,57142,34.205388,-83.031139,49310,37983,53609,362
1301949,13,Georgia,GA,Barrow County,Braselton,Braselton,Town,place,30517,706,32666762,255900,34.107616,-83.812908,161967,132462,174771,240
1301951,13,Georgia,GA,Hall County,Braselton,Braselton,Town,place,30517,706,32666762,255900,34.107616,-83.812908,162219,157183,165643,558
1301953,13,Georgia,GA,Paulding County,Rockmart,Braswell,Town,place,30153,770,8167808,29939,33.983545,-84.9584,85363,250000,31530,74
1301955,13,Georgia,GA,Carroll County,Bremen,Bremen city,City,place,30110,770,27254112,72967,33.710765,-85.151897,0,0,0,0
1301957,13,Georgia,GA,Decatur County,Bainbridge,Brinson,Town,place,39817,229,5285607,0,30.978442,-84.737945,74376,93588,25648,115
1301959,13,Georgia,GA,DeKalb County,Atlanta,Brookhaven city,City,place,30319,404,29997184,312796,33.875954,-84.334763,194719,228237,201291,21780
1301961,13,Georgia,GA,Fayette County,Brooks,Brooks,Town,place,30205,770,11110355,150193,33.293206,-84.450942,135726,117312,141570,213
1301963,13,Georgia,GA,Glynn County,Brunswick,Brunswick city,City,place,31520,912,44252082,21184858,31.136149,-81.466936,83048,64482,101933,6124
1301965,13,Georgia,GA,Morgan County,Madison,Buckhead,Town,place,30650,706,2057226,19799,33.568403,-83.361235,51271,57333,13661,100
1301967,13,Georgia,GA,Gwinnett County,Buford,Buford city,City,place,30518,770,44655265,197788,34.120015,-83.991829,111552,89203,124032,3862
1301969,13,Georgia,GA,Taylor County,Butler,Butler city,City,place,31006,478,8413760,43948,32.557194,-84.23733,99648,68425,125319,720
1301971,13,Georgia,GA,Houston County,Byron,Byron city,City,place,31008,478,22613821,63055,32.649497,-83.747954,0,0,0,0
